sno,district,mandal,village,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR
151,MEDAK,Shankarampet R,Shankarampet,0,337.6767061,590,1.14,232.5225,42,305.9359156,3.3,160,87.516,759.8519737,4.82545345
152,MEDAK,Shivampet,Shivampet,0,212.4227157,480,0.75,155.015,29,119.7580697,4.2,160,97.24,799.8355263,1.841096727
153,MEDAK,Shivampet,Gudur,0,209.0156994,320,0.63,201.5195,28,138.4252969,6.5,96,77.792,559.8684211,2.543575549
154,MEDAK,Shivampet,Usrikapally,0,266.6117541,40,1.34,24.8024,10,63.58111447,1.87,48,24.31,219.9588816,1.863929787
155,MEDAK,Tekmal,Tekmal,0,264.9932882,170,0.75,155.015,18,91.93025039,1.44,48,82.654,459.8601974,1.863878919
156,MEDAK,Toopran,Islampur,0,113.627387,30,1.57,13.7299,6,25.34785991,1.3,32,9.724,119.9835526,1.006126537
157,MEDAK,Toopran,Toopran,0,172.1695995,770,0.32,186.018,36,169.4580472,5,264,106.964,1099.819079,2.221640259
158,MEDAK,Yeldurthy,Edulapally,0,136.1340537,30,0.57,2.87885,8,22.0852428,3.85,32,14.586,139.9753289,0.811612251
159,MEDAK,Yeldurthy,Kukunoor,0,194.748032,80,0.86,37.6465,13,44.80065673,0.95,48,34.034,259.9424342,1.20814192
160,MEDAK,Yeldurthy,Ramayapally,0,121.8958017,40,0.57,2.43595,8,21.8373952,3.87,40,9.724,139.9835526,0.802480508
161,MEDCHAL,Alwal,Old Alwal,0,340.3265974,50,3.6,9.07945,12,80.39848452,3.6,72,19.448,259.9671053,2.168007735
162,MEDCHAL,Balanagar,Balanagar 1,0,337.9000242,120,1.78,12.62265,19,158.9467674,1.9,40,24.31,199.9588816,4.887125755
163,MEDCHAL,Kukatpally,Kaithalapur,0,388.5544577,460,1.28,54.9196,31,189.9321594,2.7,192,58.344,719.9013158,3.077755998
164,MEDCHAL,Kukatpally,Kukatpally 1,0,153.6031013,30,0.42,2.2145,6,19.80130163,3.94,40,14.586,159.9753289,0.680674369
165,MEDCHAL,Malkajgiri,Malkajgiri,0,342.726715,240,2.46,143.0567,28,99.84615619,4.17,200,29.172,619.9506579,1.743512044
166,MEDCHAL,Qutubullapur,Gajularamaram 2,0,390.1001688,50,1.05,50.71205,18,105.5447845,1.05,88,19.448,299.9671053,2.649550036
168,MEDCHAL,Qutubullapur,Qutubullapur 2,0,376.3478181,200,0.92,38.0894,9,151.7265771,2.2,56,58.344,379.9013158,3.384530448
170,MULUGU,Eturu Nagaram,Eturu Nagaram (D),30,40,20,0.07,79.35580223,10,19,1,16,14.586,79.97532895,0.923735741
171,MULUGU,Eturu Nagaram,Eturu Nagaram (S),0,120,30,0.16,9.8080205,8,33,1,24,9.724,99.98355263,1.434900615
172,MULUGU,Govindaraopet,Pasra,0,380,250,1.3,10.69965873,84,223,0.5,40,58.344,339.9013158,5.258968919
173,MULUGU,Govindaraopet,Project Nagar,0,520,110,1.04,45.47354959,121,257,11,40,34.034,239.9424342,7.213595024
174,NAGARKURNOOL,Amarabad,Domalapenta,0,212.0815183,150,0.27,101.20265,18.25,69.39478669,18.77,80,38.896,359.9342105,1.590330711
175,NAGARKURNOOL,Balmur,Balmur,0,409.6734947,210,1.26,73.5214,13.5,73.42677121,12,152,58.344,619.9013158,1.282228177
176,NAGARKURNOOL,Bijinepalli,Bijinepalli,0,399.6103422,320,1.06,137.52045,20.5,82.90497879,2.28,120,126.412,819.7861842,1.258932598
177,NAGARKURNOOL,Kalwakuthy,Kalwakuthy,0,354.8408403,330,2.4,223.88595,18.25,98.97333282,4.2,104,136.136,819.7697368,1.502949603
178,NAGARKURNOOL,Kodair,Kodair,0,486.8347484,130,1.83,58.24135,12.5,84.12445627,1.67,88,82.654,559.8601974,1.545804751
179,NAGARKURNOOL,Kollapur,Kollapur,0,417.3675018,600,1.19,84.151,25,240.9355435,0.9,136,126.412,859.7861842,3.572545807
180,NAGARKURNOOL,Lingal,Ambatipally,0,401.1507603,130,2.89,52.2622,15.75,135.3795653,1.4,48,58.344,359.9013158,3.102655538
181,NAGARKURNOOL,Nagarkurnool,Nagarkurnool,0,341.3790364,240,1.5,108.73195,19.75,130.537583,0.22,112,58.344,519.9013158,2.489128244
182,NAGARKURNOOL,Telkapally,Telkapally,0,581.6253822,420,0.79,256.66055,38.25,243.8144868,15.3,120,145.86,899.7532895,3.5340277
183,NAGARKURNOOL,Thimmajipet,Gummakonda,0,367.2432106,80,0.56,104.5244,13.75,13.34107229,1.14,112,68.068,559.8848684,0.245139636
184,NAGARKURNOOL,Uppununuthala,Uppununthala,0,345.4325897,150,0.76,85.4797,10.75,21.71424667,2.27,72,102.102,599.8273026,0.385481745
185,NAGARKURNOOL,Veldanda,Veldanda,0,390.8383193,620,0.881,664.35,43.75,218.9643425,6.2,280,170.17,1399.712171,2.544639075
186,NALGONDA,Advidevulapally,Ulsaipalem,0,282.8193913,130,1.59,13.46416,23,77.89601718,1.41,56,48.62,339.9177632,1.836963329
187,NALGONDA,Anumula,Anumula,60,617.5004009,20,4.56,143.0567,22,375.8479706,3.1,8,5,40,25.83773133
188,NALGONDA,Anumula,Chintagudem,0,143.234135,40,0.35,0.8858,12,33.75748878,2.95,48,4.862,139.9917763,1.24048362
189,NALGONDA,Anumula,Rajavaram,0,301.6927609,310,0.54,34.878375,102,115.1167124,0.52,160,58.344,639.9013158,1.978581939
190,NALGONDA,Anumula,Sreerampur,0,343.2149609,200,0.82,39.19665,39,114.6073525,1.94,104,48.62,459.9177632,2.323510034
191,NALGONDA,Chandampet,Chandampet,0,383.0599851,320,1.44,48.719,31,175.8569102,1.5,152,38.896,539.9342105,3.290494579
192,NALGONDA,Chandur,Angadipet,60,483.2437132,310,3.48,284.3418,41,483.7845573,4.7,24,38.896,219.9342105,14.18331574
193,NALGONDA,Chandur,Bangarigadda,20,542.2682701,80,3.13,29.6743,18,289.6110546,2.1,16,14.586,99.97532895,12.59333853
194,NALGONDA,Chandur,Chandur,40,349.8326311,60,1.84,94.55915,24,102.959453,2.8,56,53.482,359.9095395,2.359618061
195,NALGONDA,Chandur,Sirdepally,40,284.2767722,130,1.91,58.68425,19,112.0377129,2.23,32,63.206,339.8930921,2.64219721
196,NALGONDA,Chityala,Veliminedu,0,298.1381315,180,1.01,198.19775,20,94.43889745,1.75,80,82.654,539.8601974,1.767186632
197,NALGONDA,Devarakonda,Padamtipally,0,203.4671549,60,1.13,133.7558,11,23.38753429,3.79,72,43.758,359.9259868,0.535981746
198,NALGONDA,Devarakonda,Tatikole,40,274.5623056,20,2.64,14.1728,14,152.4908123,3.7,8,4.862,39.99177632,10.48408406
199,NALGONDA,Gundlapally,Vavikole,60,970.5889634,370,3.76,134.6416,45,696.9715615,52.5,24,24.31,159.9588816,23.95979194
200,NALGONDA,Gurrampode,Gurrampode,0,360.2593159,150,0.47,7.5293,35,57.93682515,0.61,176,14.586,499.9753289,1.126555441
201,NALGONDA,Gurrampode,Koppole,0,101.4866788,60,0.35,1.660875,13,37.61758289,2.55,40,4.862,119.9917763,1.493094547
202,NALGONDA,K.Mallepally,K.Mallepally,0,244.2159616,440,0.78,558.054,40,219.6721916,36.2,208,82.654,859.8601974,3.257116733
203,NALGONDA,kanagala,kanagala,0,293.4019471,210,0.97,24.58095,29,96.02446958,2.96,104,43.758,439.9259868,1.990509581
204,NALGONDA,Kattangur,Cheruvu Annaram,0,260.7374567,770,0.41,20.28482,27,98.93572639,3.28,264,131.274,1199.777961,1.241866382
205,NALGONDA,Kattangur,Kattangur,0,533.8639936,520,1.69,37.95653,23,332.9725306,3.6,144,63.206,619.8930921,5.814631174
206,NALGONDA,Marriguda,Marriguda,0,283.20758,200,3.3,77.0646,25,94.19945782,1.48,112,43.758,459.9259868,1.909750325
207,NALGONDA,Munugode,Kistapur,0,480.4154311,170,2.36,2.6574,18,216.7556348,3.8,32,48.62,279.9177632,5.632838903
208,NALGONDA,Munugode,Kompalli,0,388.3180803,320,0.717,106.296,27,176.2833391,7.4,176,34.034,579.9424342,3.182665443
209,NALGONDA,Nakrekal,Arlagaddagudam,0,364.4676613,210,1.29,25.001705,17,150.5274091,4.2,104,29.172,379.9506579,3.357562844
210,NALGONDA,Nakrekal,Nakrekal,0,278.3064137,320,0.68,45.84015,34,97.78230805,4.35,208,19.448,599.9671053,1.735676279
211,NALGONDA,Nakrekal,Vallabhapur,20,328.1154673,350,1.18,9.96525,24,247.0493225,12,64,43.758,339.9259868,5.825908343
212,NALGONDA,Nalgonda,Mushampally,20,285.3571038,200,0.88,58.9057,33,143.7238086,8.1,104,24.31,359.9588816,3.293627153
213,NALGONDA,Nalgonda,S L B C G V guda,0,106.4166034,80,0.369,2.546675,19,37.38850751,3.66,40,14.586,159.9753289,1.285238679
214,NALGONDA,Nalgonda,Seetarampuram,40,149.7509705,90,0.64,60.89875,20,77.82966687,4.1,56,19.448,219.9671053,2.281594524
215,NALGONDA,Narketpalli,Akkenepally,0,349.8810551,510,1.39,12.22404,43,239.8172365,4,144,63.206,619.8930921,4.187879333
216,NALGONDA,Narketpalli,Narketpalli,0,313.920877,20,3.92,46.5045,20,37.40802198,5.7,64,38.896,319.9342105,0.909298695
217,NALGONDA,Nidamanuru,Nidamanur,0,397.0572093,330,1.78,117.58995,41,374.3006246,36.3,48,9.724,159.9835526,12.86634071
218,NALGONDA,P.A Pally,Angadipet,0,280.5587825,260,0.57,217.9068,25,109.7419942,5.94,160,53.482,619.9095395,1.916376568
219,NALGONDA,Peddavoora,Velmaguda,40,227.0898493,40,2.71,3.63178,15,104.575608,1.29,16,19.448,119.9671053,4.151179114
220,NALGONDA,Shaligowraram,P.Kondaram,0,476.0389755,430,1.6,96.77365,17,284.1420921,3.4,88,87.516,579.8519737,5.130375677
221,NALGONDA,Thiparthy,Thipparthy,0,308.0032189,220,1.07,9.07945,22,87.13108243,9.56,96,53.482,459.9095395,1.766481381
222,NALGONDA,Thiparthy,Mamidala,0,582.3434453,950,1.01,420.755,134,366.6563255,197.5,184,228.514,1399.613487,4.261154552
224,NARAYANPET,Kosigi,Kosigi,0,155.1278664,440,0.71,376.465,38,71.86106115,4.14,184,126.412,979.7861842,0.998159936
225,NARAYANPET,Maddur,Maddur,0,154.4600544,270,0.83,83.04375,15,58.30705248,2.79,120,48.62,499.9177632,1.133819619
226,NARAYANPET,Makthal,Makthal,40,192.7563774,140,0.87,2.87885,22,101.9702086,2.32,56,24.31,239.9588816,2.862048949
227,NARAYANPET,Marikal,Marikal,0,388.6899247,20,2.04,14.83715,6,83.4421257,1.98,72,19.448,259.9671053,2.250081889
228,NARAYANPET,Narayanpet,Kollampally,100,362.6428692,60,2.02,29.2314,8,150.7620236,2.5,16,53.482,259.9095395,4.06586554
229,NARAYANPET,Narayanpet,Kotakonda,0,167.347134,350,0.75,192.88295,26,180.0455177,7.2,96,53.482,459.9095395,3.650213517
230,NARAYANPET,Narayanpet,Narayanapet,0,373.5708319,190,1.11,144.16395,31,111.6911638,2.61,64,97.24,559.8355263,2.052394078
231,NARAYANPET,Narva,Narva,0,536.4386198,240,1.35,42.0755,20,215.3232932,0.36,32,97.24,479.8355263,4.273827386
232,NARAYANPET,Utkoor,Utkoor,0,241.1174051,120,0.56,55.3625,18,100.1396797,4.41,56,29.172,259.9506579,2.70042986
233,NARAYANPET,Utkoor,Chinnaporla,0,415.1882403,720,1.43,310.03,50,422.9361745,6.5,104,140.998,839.7615132,6.345546243
234,NIRMAL,Kadam,Kadam,0,210,50,1.27,32.21090909,47,53,3,32,38.896,239.9342105,1.48765404
235,NIRMAL,Khanapur,Khanapur,0,210,40,0.48,46.10186364,67,61,2,32,38.896,239.9342105,1.712205593
236,NIRMAL,Kubeer,Kubeer,0,200,40,0.64,44.29,35,59,2,24,34.034,199.9424342,1.814143713
237,NIRMAL,Kuntala,Kuntala,0,230,90,1.05,27.17795455,109,87,5,32,53.482,299.9095395,2.184219483
238,NIRMAL,Laxmanchanda,Laxmanchanda,0,130,60,0.23,34.42540909,72,63,1,24,29.172,179.9506579,2.04190717
239,NIRMAL,Lokeswaram,Abdullapur,0,80,70,0.34,27.58059091,44,57,3,24,14.586,119.9753289,2.262564897
240,NIRMAL,Lokeswaram,Lokeswaram,0,180,20,0.67,7.650090909,16,41,3,16,24.31,139.9588816,1.506800616
241,NIRMAL,Mamada,Mamada,0,160,70,0.66,43.88736364,73,69,2,32,34.034,219.9424342,2.022864259
242,NIRMAL,Nirmal,Nirmal,20,90,30,0.31,2.617136364,39,43,2,16,14.586,99.97532895,1.869795881
243,NIRMAL,Sarangapur,Beeravelly,0,180,40,1.26,32.41222727,45,60,2,24,29.172,179.9506579,1.944673495
244,NIRMAL,Tanur,Bhosi,0,180,170,0.17,182.7969091,112,148,3,40,63.206,359.8930921,3.391931898
245,NIZAMABAD,Armoor,perkit,0,255.417806,140,1.1,209.27025,22,79.85293591,3.14,96,58.344,479.9013158,1.58484605
246,NIZAMABAD,Bheemgal,Bheemgal,0,452.601682,470,0.83,78.8362,23,147.4961885,5.3,96,160.446,899.7286184,2.137948277
247,NIZAMABAD,Bodhan,Bodhan,0,403.8887012,250,0.964,162.5443,30,171.5126738,3.5,176,29.172,559.9506579,3.151327228
248,NIZAMABAD,Darpally,Ramadugu,0,228.6890146,230,1.24,8.437245,20,87.66690542,1.46,80,48.62,399.9177632,1.905998231
249,NIZAMABAD,Dichpally,Yanampally,0,211.199135,40,1,12.97697,12,34.05380163,1.9,64,14.586,219.9753289,0.99827634
250,NIZAMABAD,Indalwai,Gannaram,0,207.1695842,300,0.699,240.4947,30,95.43079899,4.11,192,43.758,659.9259868,1.615150918
251,NIZAMABAD,Jakrampally,Jakrampally,0,178.8319982,70,0.928,37.42505,13,38.98749683,2.37,56,24.31,239.9588816,1.094281613
252,NIZAMABAD,Kammarapalli,Inayathnagar,0,325.8779176,300,1.08,122.6833,31,121.9907584,41.27,152,48.62,579.9177632,2.202499859
253,NIZAMABAD,Kotagiri,Kallur,0,412.4614016,260,1.27,38.75375,134,215.73876,0.16,96,63.206,499.8930921,4.195287948
254,NIZAMABAD,Morthad,Morthad,0,157.1197349,260,0.852,189.1183,18,76.33240433,2.46,152,38.896,539.9342105,1.428271214
255,NIZAMABAD,Mugpal,Manchippa,0,318.5676553,180,0.969,186.23945,22,107.1757466,5.96,128,48.62,519.9177632,2.043625691
256,NIZAMABAD,Mupkal,Mupkal,0,256.247806,140,0.928,125.56215,19,84.98350433,1.27,96,38.896,399.9342105,1.847619434
257,NIZAMABAD,Nandipet,Ailapoor,0,336.8176553,180,1.13,79.2791,16,111.5437787,1.89,56,72.93,439.8766447,2.312341986
258,NIZAMABAD,Nandipet,Nutpally,0,207.1741592,160,1.09,56.91265,19,104.2529963,1.51,80,19.448,279.9671053,2.708988779
259,NIZAMABAD,Nandipet,Velmal,0,286.1175167,280,0.756,10.6296,39,157.598808,1.8,128,19.448,399.9671053,3.426201927
260,NIZAMABAD,Nizamabad,Arsapally,0,381.4181255,150,1.2,65.9921,16,70.41989156,2.54,72,82.654,519.8601974,1.342839885
261,NIZAMABAD,Renjal,Dupally,0,325.8779176,300,1.08,122.6833,31,121.9907584,41.27,152,48.62,579.9177632,2.202499859
262,NIZAMABAD,Rudrur,Rayakur,0,307.1994847,200,1.74,17.93745,14,67.8796969,2.59,64,77.792,479.8684211,1.347258626
263,NIZAMABAD,Sirikonda,Peddavolgote,0,398.9585896,90,1.35,41.41115,21,104.6739926,4.21,80,38.896,359.9342105,2.398829551
264,NIZAMABAD,Vailpoor,Ankushpur,0,282.2985263,170,0.913,105.18875,20,80.5001113,4.24,104,48.62,459.9177632,1.632031561
265,NIZAMABAD,Vailpoor,Vailpoor,0,251.4352232,320,0.871,56.2483,18,109.548683,3.28,120,58.344,539.9013158,2.049850234
266,NIZAMABAD,Varni,Varni,0,341.360006,30,1.48,14.239235,7,59.43722198,1.11,48,38.896,279.9342105,1.544552514
267,NIZAMABAD,Yedapalli,Yedapalli,0,411.6723991,90,2.17,34.302605,20,154.8754567,1.8,48,34.034,259.9424342,4.176535463
268,PEDDAPALLY,Dharmaram,Dharmaram,0,200,270,0.74,31.003,178,209,28,40,48.62,299.9177632,5.247076015
269,PEDDAPALLY,Eligedu,Eligedu,0,130,120,1.39,17.11204545,79,84,10,32,29.172,199.9506579,2.582795561
270,PEDDAPALLY,Julapalli,Julapalli,0,120,190,4.43,1.811863636,180,136,1,40,43.758,279.9259868,3.534186498
271,PEDDAPALLY,Odella,Odella,0,130,230,0.35,89.18395455,96,182,8,48,24.31,219.9588816,5.335471453
272,PEDDAPALLY,Peddapalli,Peddapalli,0,150,180,1.49,110.9263182,86,145,21,48,29.172,239.9506579,4.06985741
273,RANGAREDDY,Chevella,Alur,60,178.9222242,10,0.71,33.2175,7,14.1310685,1.75,48,34.034,259.9424342,0.381073347
274,RANGAREDDY,Amangal,Amangal,0,320.7805306,270,0.65,239.166,31,121.5265423,1,168,63.206,679.8930921,2.026389802
275,RANGAREDDY,Chevella,Dharmasagar,100,187.5182701,80,0.7,40.52535,12,32.06496904,3.8,88,38.896,379.9342105,0.71523505
276,RANGAREDDY,Serilingampally,Gachibowli,60,54.79771251,70,0.58,2.6574,13,41.8859952,2.17,40,9.724,139.9835526,1.539226377
277,RANGAREDDY,Kandukur,Kandukur,0,362.193264,50,1.84,35.432,11,82.63768615,2.1,64,34.034,299.9424342,2.074585588
278,RANGAREDDY,Keshampet,Keshampet,0,148.31714,380,0.62,272.3835,21,101.4417798,3.1,152,82.654,719.8601974,1.643860438
279,RANGAREDDY,Kothur,Kothur,0,190.4826464,530,0.65,205.9485,57,257.8130012,5,144,63.206,619.8930921,4.50213569
280,RANGAREDDY,Madgula,Madgula,0,312.8174172,180,0.97,42.29695,23,98.64370488,2.3,96,43.758,419.9259868,2.092932218
281,RANGAREDDY,Maheswaram,Maheswaram,0,262.8738397,150,1.64,88.58,13,76.98178831,2.65,72,53.482,399.9095395,1.673706403
282,RANGAREDDY,Manchal,Manchal,40,324.8120526,340,4.77,101.867,34,257.3996798,1.4,32,82.654,419.8601974,5.461699647
283,RANGAREDDY,Ibrahimpatnam,Mangalpally,80,254.8333454,60,1.59,59.7915,12,94.31462036,3.8,72,24.31,279.9588816,2.45077849
284,RANGAREDDY,Moinabad,Moinabad,0,315.3506571,110,0.99,108.5105,27,51.88061293,4.1,88,63.206,479.8930921,1.029686486
285,RANGAREDDY,Shamshabad,Palmokole,40,309.9444606,80,1.66,25.46675,16,141.4692268,2,32,29.172,199.9506579,4.349834416
286,RANGAREDDY,Rajender Nagar,Rajender Nagar,0,556.1109258,1050,1.72,44.29,320,161.7915062,2.3,488,213.928,2099.638158,1.535167097
287,RANGAREDDY,Farooqnagar,Shadnagar,0,316.7534751,310,2.05,106.296,18,97.65486215,2.75,128,82.654,659.8601974,1.652875221
288,RANGAREDDY,Shahbad,Shahbad,0,190.7854009,20,1.19,9.7438,7,25.95773746,1.93,40,19.448,179.9671053,0.841283622
289,RANGAREDDY,Shankarpalli,Shankarpalli,0,198.8604311,170,0.58,70.864,15,55.10541238,1.54,64,58.344,399.9013158,1.198091547
290,RANGAREDDY,Talakondapalli,Talakondapalli,0,269.640006,30,1.49,84.151,7,33.36323429,1.92,56,43.758,319.9259868,0.810990095
291,RANGAREDDY,Yacharam,Yacharam,40,317.513903,70,2.11,77.5075,20,39.58012307,3.51,104,48.62,459.9177632,0.802433798
292,SANGAREDDY,Andole,Jogipet,0,353.6688518,210,1.47,70.864,18,118.3005616,2.57,64,77.792,479.8684211,2.347998877
293,SANGAREDDY,Gummadiddla,Gummadiddla,0,456.6510068,270,0.53,139.5135,20,136.6798124,213.7,72,58.344,419.9013158,2.900032869
294,SANGAREDDY,Hathnoora,Borapatla,0,209.4435835,60,1.46,3.76465,8,31.34381556,2.74,40,34.034,239.9424342,0.879772731
295,SANGAREDDY,Hathnoora,Nasthipur,0,184.1423177,80,1.75,70.864,16,43.85447438,2.32,56,34.034,279.9424342,1.139598075
296,SANGAREDDY,Jinnaram,Ootla,0,158.0539332,220,1.14,20.8163,1,88.21230163,3.26,96,14.586,299.9753289,2.214412624
297,SANGAREDDY,Kalher,Bachapally,0,407.3121038,200,1.25,34.1033,18,105.0818557,1.66,80,77.792,519.8684211,2.003794494
298,SANGAREDDY,Kalher,Meerkhanpally,0,351.6264648,180,1.82,46.28305,24,155.5836327,2.4,88,29.172,339.9506579,3.66883456
299,SANGAREDDY,Kandi,Byathole,0,171.8999814,400,1.79,192.6615,28.25,208.3860012,5,88,63.206,479.8930921,4.13588501
300,SANGAREDDY,Patancheru ,Isnapur,0,265.8204311,170,1.55,11.9583,12,89.49147492,3.01,72,38.896,339.9342105,2.110359254
301,SANGAREDDY,Patancheru ,Patancheruvu,0,167.3295201,80,1.74,14.1728,14.25,41.53655991,1.81,72,9.724,219.9835526,1.217608254
302,SANGAREDDY,R.C.Puram,R.C.Puram,0,226.2310798,140,1.91,19.0447,15.75,74.60801819,1.89,112,4.862,299.9917763,1.872849991
303,SIDDIPET,Gajwel,Gajwel,0,139.8927818,20,0.97,154.79355,12,22.93834923,1.37,72,19.448,259.9671053,0.618550447
304,SIDDIPET,Jagdevpur,Munigadapa,0,198.4039151,130,1.65,47.3903,16,74.85415728,2.15,48,38.896,279.9342105,1.945181368
305,SIDDIPET,Mirdoddi,Bhoompalli,80,260.8060579,130,1.48,60.89875,19,111.089953,2.8,56,53.482,359.9095395,2.545952332
306,SIDDIPET,Mulugu,Mulugu,0,309.7554822,30,2.95,15.5015,5,52.41760271,2.6,64,24.31,259.9588816,1.413503828
307,SIDDIPET,Nanganur,Rampur,60,41.47786319,30,1.04,3.9861,10,26.43778932,2.45,24,9.724,99.98355263,1.149563641
308,SIDDIPET,Raipole,Raipole,60,78.74873419,20,1.47,133.7558,8,20.88274977,2.74,56,24.31,239.9588816,0.586126604
309,SIDDIPET,Siddipet,Siddipet,0,197.8831194,120,1.5,50.0477,18,70.29350433,1.61,48,38.896,279.9342105,1.826666947
310,SIDDIPET,Wargal,Majidpalli,40,109.8365913,20,0.64,3.9861,8,13.96250217,2.42,32,19.448,159.9671053,0.479976611
311,SIRCILLA,Gambhiraopet,Narmal,0,290,150,1.29,56.36909091,82,196,9,56,14.586,199.9753289,6.026151217
312,SIRCILLA,Illanthakunta,Illanthukunta ,0,180,210,1.26,34.82804545,85,179,7,80,5,200,5.503135384
313,SIRCILLA,Konaraopet,Nizamabad,0,270,30,1.11,64.42181818,29,116,5,32,14.586,139.9753289,4.262892735
314,SIRCILLA,Sircilla,Sircilla(urban),0,410,360,1.03,41.87418182,108,199,11,80,102.102,619.8273026,3.475280705
315,SIRCILLA,Vemulawada,Vemulawada(rural),0,280,230,1.77,102.6722727,100,136,34,80,58.344,439.9013158,2.819249044
316,SIRCILLA,Yellareddipet,Racherla Boppaspur,0,220,130,0.94,52.34272727,79,132,2,56,24.31,239.9588816,3.704910155
317,SURYAPET,Arvapally,Kodur,0,370.0174684,40,1.15,65.9921,10,82.12910913,1.14,80,29.172,319.9506579,1.996309035
318,SURYAPET,Arvapally,Nagaram,0,255.5747349,260,0.98,41.85405,18,85.40600488,2.13,128,43.758,499.9259868,1.660763206
319,SURYAPET,Chivemla,B. Chandupatla,0,372.0712839,70,1.61,28.7885,10,69.61665085,2.59,88,34.034,359.9424342,1.59539698
320,SURYAPET,Mattampalle,Raghunadhapalem,0,260.7941141,330,1.42,11.9583,54,168.1888332,1.9,120,34.034,439.9424342,3.486353295
321,SURYAPET,Mellacheruvu,Mellacheruvu,0,413.1396294,130,1.02,9.52235,34,105.7912749,1.99,104,38.896,419.9342105,2.244560866
322,SURYAPET,Nuthankal,Nuthankal,0,367.6615974,50,1.24,26.1311,12,36.05333963,2.31,96,38.896,399.9342105,0.783832715
323,SURYAPET,Thungathurthi,Thungathurthi,0,284.9221219,290,1.11,60.2344,21,106.0090289,7.31,136,48.62,539.9177632,1.983586813
324,VIKARABAD,Bantwaram,Bantwaram,0,152.8008078,70,0.61,50.9335,9,48.81981502,1.54,32,29.172,199.9506579,1.501090494
325,VIKARABAD,Basheerabad,Basheerabad,0,161.7925107,250,0.92,152.8005,20,114.0632183,2.96,72,58.344,419.9013158,2.420160493
326,VIKARABAD,Bomraspet,Bomraspet,40,193.5357264,60,1.24,6.42205,8,81.55781502,0.86,16,29.172,159.9506579,2.803785148
327,VIKARABAD,Dharoor,Dharoor,0,132.4873479,230,1.13,15.72295,15,51.42502361,2.5,64,53.482,379.9095395,1.147113958
328,VIKARABAD,Doma,Doma,0,211.5260128,300,1.5,31.4459,18,67.52827872,4.44,96,72.93,539.8766447,1.263602783
329,VIKARABAD,Doulathabad,Doulathabad,0,223.7277878,50,1.37,31.22445,7,50.60750271,2.6,48,24.31,219.9588816,1.483598275
330,VIKARABAD,Kodangal,Kodangal,0,412.1889332,220,1.48,126.2265,19,100.4303429,2.2,144,68.068,639.8848684,1.726180432
331,VIKARABAD,Kodangal,Rudraram (S),0,232.615877,20,1.04,77.5075,8,17.37714551,0.5,56,38.896,299.9342105,0.436252169
332,VIKARABAD,Marpalli,Marpalli,40,40.77897833,50,0.26,2.2145,17,43.88047755,14.74,8,9.724,59.98355263,2.463357347
333,VIKARABAD,Nawabpet,Vattinenipally(s),80,185.3353195,10,0.83,14.83715,3,27.64329683,0.33,56,24.31,239.9588816,0.775878266
334,VIKARABAD,Parigi,Parigi,0,165.8595359,60,0.56,50.9335,10,21.4156161,1.22,40,38.896,259.9342105,0.577525302
